,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
83,"Roke Na Ruke Naina Lyrical Video | Arijit Singh | Varun Alia | Amaal Mallik""Badrinath Ki Dulhania"" ",https://www.youtube.com/watch?v=HyLCgkQtluw,https://www.youtube.com/embed/HyLCgkQtluw,HyLCgkQtluw,0,1,1,1,0,0,0
84,"Mar Jaayen  | Loveshhuda | Girish Navneet | Atif Mithoon ",https://www.youtube.com/watch?v=fVZuAgPJuW4,https://www.youtube.com/embed/fVZuAgPJuW4,fVZuAgPJuW4,1,0,0,0,1,0,1
85,"Dil Meri Na Sune Lyrical - Genius | Utkarsh Ishita | Atif Aslam | Himesh Reshammiya | Manoj ",https://www.youtube.com/watch?v=YZLKoG_vhDY,https://www.youtube.com/embed/YZLKoG_vhDY,YZLKoG_vhDY,1,0,0,0,0,1,1
86,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"") ",https://www.youtube.com/watch?v=Pm0Ga7R-vrM,https://www.youtube.com/embed/Pm0Ga7R-vrM,Pm0Ga7R-vrM,1,0,1,0,0,0,1
87,Kaise Mujhe Tum Mil Gayi GHAJINI - 2008 - Bollywood - AR Rahman Sir - Aamir Khan & Asin ,https://www.youtube.com/watch?v=KAORKKOmMgQ,https://www.youtube.com/embed/KAORKKOmMgQ,KAORKKOmMgQ,1,0,0,0,0,1,1
88,"Tum Jo Aaye | Once Upon A Time In Mumbai | Ajay Devgn Rahat Fateh Ali Khan | Feel The Lyrics ",https://www.youtube.com/watch?v=e0-kjq-tEds,https://www.youtube.com/embed/e0-kjq-tEds,e0-kjq-tEds,1,0,0,0,0,1,1
89,"Lut Gaye (Full Song) Emraan Hashmi Yukti | Jubin N Tanishk B Manoj M | Bhushan K | Radhika-Vinay ",https://www.youtube.com/watch?v=sCbbMZ-q4-I,https://www.youtube.com/embed/sCbbMZ-q4-I,sCbbMZ-q4-I,1,1,1,1,0,1,1
90,KAUN TUJHE Lyrical | M.S. DHONI -THE UNTOLD STORY | Amaal Mallik Palak | Sushant Singh Disha Patani ,https://www.youtube.com/watch?v=Ov0YGGSY6gY,https://www.youtube.com/embed/Ov0YGGSY6gY,Ov0YGGSY6gY,1,0,1,0,1,1,1
91,"Tera Fitoor Lyrical - Genius | Utkarsh Sharma Ishita Chauhan | Arijit Singh | Himesh Reshammiya ",https://www.youtube.com/watch?v=qfdShSZZxlg,https://www.youtube.com/embed/qfdShSZZxlg,qfdShSZZxlg,1,0,0,0,0,1,1
92,"Sunn Raha Hai Na Tu Aashiqui 2 Full Song With Lyrics | Aditya Roy Kapur Shraddha Kapoor ",https://www.youtube.com/watch?v=z3UHfi9vpbc,https://www.youtube.com/embed/z3UHfi9vpbc,z3UHfi9vpbc,0,1,0,1,1,0,0
