S. No,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral,,
97, Galliyan Song | Ek Villain | Ankit Tiwari | Sidharth Malhotra | Shraddha Kapoor ,https://www.youtube.com/watch?v=FxAG_11PzCk,https://www.youtube.com/embed/FxAG_11PzCk,FxAG_11PzCk,1,0,1,0,0,0,1,,
98,"Bekhayali Full Song | Kabir Singh | Shahid K,Kiara A|Sandeep Reddy Vanga | Sachet-Parampara | Irshad ",https://www.youtube.com/watch?v=VOLKJJvfAbg,https://www.youtube.com/embed/VOLKJJvfAbg,VOLKJJvfAbg,1,0,1,0,0,0,1,,
99,"Challa | Full Song | Jab Tak Hai Jaan | Shah Rukh Khan, Katrina Kaif | Rabbi | A. R. Rahman | Gulzar ",https://www.youtube.com/watch?v=1GWyCJHuNms,https://www.youtube.com/embed/1GWyCJHuNms,1GWyCJHuNms,1,0,1,0,1,1,1,,
100,"Tum Hi Aana Full Video | Marjaavaan | Riteish D, Sidharth M, Tara S | Jubin N | Payal Dev Kunaal V ",https://www.youtube.com/watch?v=RemShT6JAHw,https://www.youtube.com/embed/RemShT6JAHw,RemShT6JAHw,1,0,0,0,0,0,1,,
101,"Nazm Nazm - Lyrical | Bareilly Ki Barfi | Kriti Sanon, Ayushmann Khurrana & Rajkummar Rao | Arko ",https://www.youtube.com/watch?v=DK_UsATwoxI,https://www.youtube.com/embed/DK_UsATwoxI,DK_UsATwoxI,1,0,0,0,0,1,1,,
102,Pal,https://www.youtube.com/watch?v=6PL39H2B7UQ,https://www.youtube.com/embed/6PL39H2B7UQ,6PL39H2B7UQ,1,0,0,1,0,0,1,,
103,Ankh Hai Bhari Bhari (Male Version) ,https://www.youtube.com/watch?v=kq0BmZ9xJps,https://www.youtube.com/embed/kq0BmZ9xJps,kq0BmZ9xJps,0,1,0,1,1,0,0,,
104,"Phir Bhi Tumko Chaahunga - Full Song | Arijit Singh | Arjun K & Shraddha K | Mithoon , Manoj M ",https://www.youtube.com/watch?v=_iktURk0X-A,https://www.youtube.com/embed/_iktURk0X-A,_iktURk0X-A,0,1,0,1,0,0,0,,
105,O Saathi | Baaghi 2 ,https://www.youtube.com/watch?v=YuXLN23ZGQo,https://www.youtube.com/embed/YuXLN23ZGQo,YuXLN23ZGQo,1,0,0,0,0,1,1,,
106,Zaalima| Raees ,https://www.youtube.com/watch?v=0nVXsjF34BA,https://www.youtube.com/embed/0nVXsjF34BA,0nVXsjF34BA,1,0,1,0,0,0,1,,
107,"Dil Diyan Gallan Song | Tiger Zinda Hai | Salman Khan, Katrina Kaif | Atif Aslam | Vishal & Shekhar ",https://www.youtube.com/watch?v=SAcpESN_Fk4,https://www.youtube.com/embed/SAcpESN_Fk4,SAcpESN_Fk4,1,0,0,0,1,1,1,,
108,Teri Mitti - Lyrical | Kesari | Akshay Kumar & Parineeti Chopra | Arko | B Praak| Manoj Muntashir ,https://www.youtube.com/watch?v=tionpZAVPd4,https://www.youtube.com/embed/tionpZAVPd4,tionpZAVPd4,1,0,0,1,0,0,1,,
109,"Lo Safar (From ""Baaghi 2"") ",https://www.youtube.com/watch?v=bFgIPzC68Mk,https://www.youtube.com/embed/bFgIPzC68Mk,bFgIPzC68Mk,1,0,1,0,0,0,1,,
110,Yeh Haseen Vadiyan | Roja | A.R. Rahman ,https://www.youtube.com/watch?v=z-vcE-UTc-0,https://www.youtube.com/embed/z-vcE-UTc-0,z-vcE-UTc-0,1,0,0,1,0,1,1,,
111,"Duniyaa (From ""Luka Chuppi"") ",https://www.youtube.com/watch?v=h3EuilWNquo,https://www.youtube.com/embed/h3EuilWNquo,h3EuilWNquo,1,0,1,0,0,0,1,,
112,"Sanu Ek Pal (From ""Raid"") ",https://www.youtube.com/watch?v=8HRLn62jWr8,https://www.youtube.com/embed/8HRLn62jWr8,8HRLn62jWr8,1,0,1,0,1,1,1,,
113,Mere Samne Wali Khidki Mein | Ashish Patil | Padosan | Kishore Kumar | Cover | 2018 HD ,https://www.youtube.com/watch?v=GtQstf_sGr4,https://www.youtube.com/embed/GtQstf_sGr4,GtQstf_sGr4,1,1,1,1,1,1,1,,
114,Gulabi Aankhen | Sanam ,https://www.youtube.com/watch?v=hgi2MYAFgE8,https://www.youtube.com/embed/hgi2MYAFgE8,hgi2MYAFgE8,1,0,1,0,1,0,1,,
115,Srivalli ,https://www.youtube.com/watch?v=iks48tNYy6o,https://www.youtube.com/embed/iks48tNYy6o,iks48tNYy6o,1,0,1,0,1,0,1,,
116,"SAB TERA Full Song (Audio) | BAAGHI | Tiger Shroff, Shraddha Kapoor | Armaan Malik | Amaal Mallik ",https://www.youtube.com/watch?v=sZfnwayum2M,https://www.youtube.com/embed/sZfnwayum2M,sZfnwayum2M,1,0,0,0,0,1,1,,
117,Bhaag Milkha Bhaag Rock Version audio song ,https://www.youtube.com/watch?v=AShsrX8qvpI,https://www.youtube.com/embed/AShsrX8qvpI,AShsrX8qvpI,1,0,1,0,0,0,1,,
118,"Mitwa Full Video - KANK|Shahrukh Khan,Rani Mukherjee|Shafqat Amanat Ali|Shankar Mahadevan ",https://www.youtube.com/watch?v=ru_5PA8cwkE,https://www.youtube.com/embed/ru_5PA8cwkE,ru_5PA8cwkE,1,0,1,1,1,0,1,,
